budget,action,adventure,fantasy,science fiction,crime,drama,thriller,animation,family,western,comedy,romance,horror,mystery,history,war,music,documentary,foreign,tv movie,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
237000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19995,150.437577,4,2,4,10,12,2009,2787965087,162,Avatar,7.2,11800,7.064130434782609
300000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,139.082615,3,1,6,19,5,2007,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500,6.9847457627118645
245000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206647,107.376788,3,2,1,26,10,2015,880674609,148,Spectre,6.3,4466,6.893904839476006
250000000,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49026,112.31295,4,1,1,16,7,2012,1084939099,165,The Dark Knight Rises,7.6,9106,7.1601946871518205
260000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49529,43.926995,1,1,3,07,3,2012,284139100,132,John Carter,6.1,2124,6.929523669075358
258000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,115.699814,3,1,2,01,5,2007,890871626,139,Spider-Man 3,5.9,3576,6.862346024636059
260000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,38757,48.681969,2,1,3,24,11,2010,591794936,100,Tangled,7.4,3330,7.047017296152489
280000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99861,134.279229,3,1,3,22,4,2015,1405403694,141,Avengers: Age of Ultron,7.3,6767,7.0639059401265465
250000000,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,767,98.885637,2,2,2,07,7,2009,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293,7.069890733832899
250000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209112,155.790452,6,1,3,23,3,2016,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004,6.715498062742157
270000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,57.925623,4,1,3,28,6,2006,391081192,154,Superman Returns,5.4,1400,6.915151515151515
200000000,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10764,107.928811,1,2,4,30,10,2008,586090727,106,Quantum of Solace,6.1,2965,6.904577150008939
200000000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,145.847379,3,4,2,20,6,2006,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,7.0
