budget,action,adventure,fantasy,science fiction,comedy,crime,drama,mystery,thriller,romance,war,horror,animation,family,western,history,music,tv movie,documentary,foreign,id,popularity,production_companies,production_countries,weekday,day,month,year,revenue,runtime,title,vote_average,vote_count,weighted_rating
245000000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140607,20.2,3,1,2,15,12,2015,2068223624,136,Star Wars: The Force Awakens,7.4,12014,7.129831955476305
81000000,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207703,23.465,5,2,6,24,1,2015,414351546,129,Kingsman: The Secret Service,7.6,9706,7.1677980752607615
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,280996,12.332,5,2,5,19,6,2015,29355203,103,Mr. Holmes,6.5,1034,6.9801413536145045
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,339527,9.916,9,1,4,03,9,2015,22586863,101,Solace,6.3,1180,6.968449197860963
10000000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325348,9.142,5,2,6,12,9,2015,14333790,97,Hardcore Henry,6.2,1219,6.962805598993097
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,258480,8.362,3,2,5,20,11,2015,40272135,118,Carol,7.4,1775,7.026517273576097
15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,306819,10.411,10,5,5,27,11,2015,64191523,120,The Danish Girl,7.6,3328,7.070488562552951
65000000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238713,7.578,3,1,3,06,5,2015,235666219,120,Spy,6.8,3719,6.974100769525402
35000000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249070,9.292,11,3,4,20,8,2015,81967450,96,Hitman: Agent 47,5.6,1669,6.912385166297949
13000000,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,333352,8.343,2,1,5,11,9,2015,18704595,102,Eye in the Sky,7.1,799,7.003097019264312
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,284289,9.023,1,1,6,06,9,2014,45895,95,Beyond the Reach,5.6,192,6.989329946014608
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347096,5.05,1,1,3,24,6,2015,0,108,Mythica: The Darkspore,5.8,65,6.996888090963495
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,308369,7.893,1,1,5,12,6,2015,0,105,Me and Earl and the Dying Girl,7.6,1477,7.033470559353401
25000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296100,10.136,3,1,5,20,11,2015,52395996,101,The Night Before,6.1,891,6.96902784751458
2500000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,263472,11.071,6,2,5,26,6,2015,6341684,99,Knock Knock,5,1384,6.895087932080048
