Name
Christopher Nolan
Steven Spielberg
Quentin Tarantino
Martin Scorsese
David Fincher
Stanley Kubrick
Robert Zemeckis
Ridley Scott
Francis Ford Coppola
Clint Eastwood
Frank Darabont
Joel Coen
Alfred Hitchcock
Sam Mendes
Danny Boyle
James Cameron
Ron Howard
Tim Burton
Darren Aronofsky
Roman Polanski
Alejandro G. Iñárritu
Woody Allen
Sergio Leone
Steven Soderbergh
Chris Columbus
Rob Reiner
Tony Scott
Denis Villeneuve
Peter Weir
David O. Russell
Jonathan Demme
Mel Gibson
Gore Verbinski
Milos Forman
Wes Anderson
Guy Ritchie
Luc Besson
Sidney Lumet
Richard Linklater
M. Night Shyamalan
Ang Lee
Todd Phillips
Tony Kaye
Michael Mann
Lana Wachowski
Lilly Wachowski
Brian De Palma
John Lasseter
Paul Thomas Anderson
Oliver Stone
Gus Van Sant
George Lucas
Peter Jackson
Ben Affleck
Damien Chazelle
Tom Hooper
Paul Greengrass
James McTeigue
Irvin Kershner
Billy Wilder
Alfonso Cuarón
Jason Reitman
Morten Tyldum
Spike Jonze
Fernando Meirelles
Baz Luhrmann
Gary Ross
Michel Gondry
Kathryn Bigelow
Terry Gilliam
Bryan Singer
David Lynch
Barry Levinson
Steve McQueen
Charles Chaplin
Guillermo del Toro
Michael Bay
John McTiernan
Shane Black
Akira Kurosawa
Nick Cassavetes
James Mangold
Edward Zwick
Neil Burger
Mike Newell
Martin McDonagh
Olivier Nakache
Éric Toledano
Victor Fleming
Tom Tykwer
Louis Leterrier
Paul Haggis
Spike Lee
Harold Ramis
Duncan Jones
Marc Forster
Rob Marshall
Francis Lawrence
Richard Kelly
Wolfgang Petersen
Sean Penn
Nicolas Winding Refn
Nancy Meyers
Glenn Ficarra
John Requa
Mike Nichols
Jay Roach
Curtis Hanson
Jaume Collet-Serra
John G. Avildsen
Evan Goldberg
Alexander Payne
J.J. Abrams
Martin Campbell
Jean-Marc Vallée
Tate Taylor
Chan-wook Park
Terrence Malick
Bennett Miller
Lasse Hallström
Alejandro Amenábar
Andrew Niccol
Terry George
Frank Capra
Michael Curtiz
Lars von Trier
Sofia Coppola
Tom McCarthy
David Lean
Orson Welles
Jim Jarmusch
Cameron Crowe
Gavin O'Connor
Joel Schumacher
Doug Liman
Taylor Hackford
Stephen Daldry
Giuseppe Tornatore
Jean-Pierre Jeunet
Joe Wright
Derek Cianfrance
James Wan
Barry Sonnenfeld
David Cronenberg
Dan Gilroy
Roger Donaldson
Matthew Vaughn
John Landis
Valerie Faris
Jonathan Dayton
