title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
$upercapitalist,N/A,N/A,"$18,500",Truly Indie,"August 10, 2012",Thriller,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1=11,N/A,N/A,"$198,400",Eros,"March 28, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,000 Rupee Note",N/A,N/A,"$2,500",Kino Lorber,"September 23, 2016",Drama,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,000 Times Good Night",N/A,N/A,"$58,600",Film Movement,"October 24, 2014",Foreign,1 hrs. 57 min.,Unrated,N/A,"$53,895",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Cloverfield Lane,N/A,N/A,"$75,623,600",Paramount,"March 11, 2016",Thriller,1 hrs. 45 min.,PG-13,N/A,"$110,216,998",Mary Elizabeth Winstead,John Goodman,N/A,N/A,N/A,N/A,J.J. Abrams,N/A,N/A,N/A,N/A,N/A,Damien Chazelle,N/A,N/A,N/A
"10,000 B.C.",Roland Emmerich,N/A,"$119,206,300",Warner Bros.,"March 7, 2008",Period Adventure,1 hrs. 49 min.,PG-13,$105 million,"$269,784,201",N/A,N/A,N/A,N/A,N/A,N/A,Mark Gordon,Harald Kloser,Scott Mednick,Thomas Tull,N/A,N/A,Roland Emmerich,Harald Kloser,Harald Kloser,Thomas Wander
The 100-Year Old Man Who Climbed Out the Window and Disappeared,N/A,N/A,"$1,020,900",Music Box Films,"May 1, 2015",Foreign,1 hrs. 54 min.,R,N/A,"$51,130,193",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (1996),N/A,N/A,"$274,944,200",Buena Vista,"November 27, 1996",Family Comedy,1 hrs. 43 min.,G,N/A,"$320,689,294",Glenn Close,Hugh Laurie,N/A,N/A,N/A,N/A,John Hughes,N/A,N/A,N/A,N/A,N/A,John Hughes,N/A,Michael Kamen,N/A
101 Dalmatians (Re-issue) (1969),N/A,N/A,"$114,464,800",Disney,"January 1, 1969",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1979),N/A,N/A,"$68,354,600",Disney,"January 1, 1979",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
